收支类型,账单类型,金额,手续费,不计收支,不计预算,分类,子分类,记账日期,备注信息,标签,报销状态,退款状态,退款金额,账本名称,账户名称,转入账户名称,借款账户名称
支出,普通收支,40,,否,否,孩子,教育,2026-6-9 10:3,书寻宝记,,否,否,,,,,
支出,普通收支,35,,否,否,家庭日常,零食,2026-6-9 10:3,零食,,否,否,,,,,
支出,普通收支,40,,否,否,孩子,教育,2026-6-9 10:2,试课英语街舞,,否,否,,,,,
支出,普通收支,28,,否,否,孩子,洛,2026-6-9 10:2,汗巾,,否,否,,,,,
支出,普通收支,105,,否,否,家庭日常,买菜,2026-6-9 10:2,,,否,否,,,,,
支出,普通收支,14,,否,否,孩子,洛,2026-6-9 10:2,头饰,,否,否,,,,,
支出,普通收支,9,,否,否,孩子,洛,2026-6-9 10:1,零食,,否,否,,,,,
支出,普通收支,21,,否,否,家庭日常,买菜,2026-6-9 10:1,,,否,否,,,,,
支出,普通收支,180,,否,否,家庭日常,买菜,2026-6-9 10:1,,,否,否,,,,,
支出,普通收支,138,,否,否,家庭日常,买菜,2026-6-9 10:1,,,否,否,,,,,
支出,普通收支,30,,否,否,家庭日常,外卖,2026-6-9 10:1,马记永,,否,否,,,,,
支出,普通收支,200,,否,否,家庭日常,,2026-6-9 10:0,洗空调,,否,否,,,,,
支出,普通收支,36,,否,否,家庭日常,买菜,2026-6-9 10:0,,,否,否,,,,,
支出,普通收支,59,,否,否,家庭日常,买菜,2026-6-9 10:0,,,否,否,,,,,
支出,普通收支,205,,否,否,家庭日常,,2026-6-9 10:0,砧板,,否,否,,,,,
支出,普通收支,65,,否,否,家庭日常,买菜,2026-6-9 10:0,,,否,否,,,,,
支出,普通收支,200,,否,否,家庭日常,零食,2026-6-9 10:0,水果榴莲,,否,否,,,,,
支出,普通收支,383,,否,否,家庭日常,山姆,2026-6-9 9:59,,,否,否,,,,,
支出,普通收支,58,,否,否,家庭日常,,2026-6-9 9:59,灭火器,,否,否,,,,,
支出,普通收支,67,,否,否,孩子,洛,2026-6-9 9:59,枕头,,否,否,,,,,
支出,普通收支,24,,否,否,孩子,教育,2026-6-9 9:59,教辅,,否,否,,,,,
支出,普通收支,200,0.00,否,否,家庭日常,,2026-6-9 9:58,洗衣液,,否,否,,,,,
支出,普通收支,93,,否,否,家庭日常,买菜,2026-6-9 9:58,,,否,否,,,,,
支出,普通收支,198,,否,否,孩子,教育,2026-6-9 9:58,书法课,,否,否,,,,,
支出,普通收支,152,,否,否,家庭日常,出去吃,2026-6-9 9:58,海底捞,,否,否,,,,,
支出,普通收支,48,,否,否,家庭日常,买菜,2026-6-9 9:58,,,否,否,,,,,
支出,普通收支,1195,,否,否,家庭日常,出去玩,2026-6-9 9:57,河源,,否,否,,,,,
支出,普通收支,80,,否,否,家庭日常,买菜,2026-6-9 9:57,,,否,否,,,,,
支出,普通收支,29,,否,否,孩子,教育,2026-6-9 9:57,学校61活动,,否,否,,,,,
支出,普通收支,67,,否,否,家庭日常,买菜,2026-6-9 9:57,,,否,否,,,,,
支出,普通收支,107,,否,否,家庭日常,买菜,2026-6-9 9:57,,,否,否,,,,,
支出,普通收支,125,0.00,否,否,孩子,医疗,2026-6-9 9:56,体温计,,否,否,,,,,
支出,普通收支,320,,否,否,家庭日常,山姆,2026-6-9 9:56,,,否,否,,,,,
支出,普通收支,1600,,否,否,孩子,霖,2026-6-9 9:56,金海湾,,否,否,,,,,
支出,普通收支,66,,否,否,家庭日常,固定开销,2026-6-9 9:56,奶,,否,否,,,,,
支出,普通收支,52,,否,否,家庭日常,买菜,2026-6-9 9:55,,,否,否,,,,,
支出,普通收支,255,,否,否,家庭日常,固定开销,2026-6-9 9:55,羊奶,,否,否,,,,,
支出,普通收支,100,,否,否,孩子,医疗,2026-6-9 9:55,羚羊,,否,否,,,,,
支出,普通收支,98,,否,否,家庭日常,买菜,2026-6-9 9:54,,,否,否,,,,,
支出,普通收支,1000,,否,否,家庭日常,固定开销,2026-6-8 15:17,电费,,否,否,,,,,
支出,普通收支,226,,否,否,家庭日常,固定开销,2026-6-8 15:14,电费,,否,否,,,,,
支出,普通收支,38,,否,否,家庭日常,买菜,2026-6-7 18:26,天虹,,否,否,,,,,
支出,普通收支,28,,否,否,家庭日常,外卖,2026-6-7 16:56,,,否,否,,,,,
支出,普通收支,22,,否,否,家庭日常,外卖,2026-6-7 11:4,,,否,否,,,,,
支出,普通收支,13,,否,否,家庭日常,零食,2026-6-7 11:3,紫薯面包,,否,否,,,,,
支出,普通收支,484,,否,否,家庭日常,皇冠,2026-6-6 21:30,加油,,否,否,,,,,
支出,普通收支,29,,否,否,家庭日常,买菜,2026-6-6 18:14,牛扒,,否,否,,,,,
支出,普通收支,24,,否,否,家庭日常,外卖,2026-6-6 17:1,,,否,否,,,,,
支出,普通收支,284,,否,否,家庭日常,出去吃,2026-6-6 13:15,照记,,否,否,,,,,
支出,普通收支,7,,否,否,家庭日常,皇冠,2026-6-6 11:59,,,否,否,,,,,
